,review,rating
22,i had a fantastic stay its got a nice location and the staff is simply too good this has got to be the nicest ive been treated at any hotel ever the food in the room service is really good and actually well priced the only negative thing i would say is that the desk in the room i stayed in was very oddly designed the drawer was too thick so it was very difficult to find a comfortable position to do work other than this minor issue everything was excellent i would definitely stay here again,5/5
23,no  ermou is located in one of the most central streets of the city  star hotel offering absolutely all services in an impeccable way ,5/5
24,this new hotel is very clean and modern with pleasing décor it is situated close to the main city restaurant area ,5/5
25,very nice hotel in the city centre the room was clean but not very spacious,5/5
26,dear readersi have been traveling for more than  years and have seen many different hotels rules and also policies unfortunately ermou hotel no  in thessaloniki is by far the worst hotel i have been in contact with in terms of customer servicei accidentally booked the hotel for  nights while looking for my summer vacation when i contacted the hotel by phone and in writing  days before arrival they said sorry we cant cancel the reservationnot even my request to postpone the  days so that i can go on vacation for a week in the summer season was rejected on the phone without checking anythingconclusion the hotel is absolutely not customeroriented and is only interested in profit its a shame that you treat your customers like thatregardsbhoffmann,1/5
27,highly recommend a stay here it is located in the city center the breakfast is amazing  the cheese pie is a must try the rooms are modern  brand new quality the interior design establish a very nice ambiance from the lobby to the roombut definitely  stars for the friendly staff their lovely smiles  their professional service many thanks,5/5
28,the only good thing is that locationwe arrived at  and still room was not ready and the receptionist is not helpful to useven if there are  parking lots in front of the door not available to park therethe toilet and room was too smallits a sauna hotel but there is not bathrobe in the roombriefly in general nothing special to stay in this  star hotel its totally as same as  star standard hotel,2/5
29,everything was amazing breakfast is very good and varied the staff is amazingly helpfull and attentive to details the room cleaning was very good totally recommend for anyone that wants to have a nice nights stay in the heart of the thessaloniki city we had a room situated towards the main road and it was very quiet the rooms have very good soundproof also the air conditioning doesnt close when you take out the key card you can leave your air conditioning on as much as you would like you can also tell the reception they can open your air conditioning from the reception without going to your room  star hotel indeed,5/5
30,great hotel in the heart of thessaloniki great room perfect gym breakfast is delicious and most important  staff is very friendly helpful and professional recommend the hotel and will come back ,5/5
31,amazing new hotel rooms are perfect and the service is spotless the breakfast is top notch quality not a wide variety but everything they serve is just way above the average the only downside would be the lack of parking spots but if you are willing to spend few more minutes you will find a spot on any of the nearby streets,5/5
32,super nice staff extremely helpfull with parking our car which can be a real nightmare in ermou street the room was lovely a bit small but for one night perfect  very walkable location with plenty of shops and restaurants to explore definitely stay again,5/5
33,we booked no  ermou because of the pictures and its central location we really werent disappointed at all when we checked in as the hotel is easy to get to the rooms were spacious modern and clean and the staff was incredibly friendly we were really happy with our stay and the staff were very accommodating with our requests and our questions i am really looking forward to staying here again,5/5
34,hotel pretends to be  but its not lift is not well positioned on the floors which is dangerous rooms are not big suite is just like a normal room in other hotels but at a higher price the bathroom is good hammam is not obvious to be used as you have to olan far jn adance peesonnel js goving not accurate knfkrmation sometims sjmply not answering your emails we paid for ny dinner tk share with friends and got bad service poor quality overcooked big quantitiy food no sparkling wine apart paying for expensive bottle of champagne and sadly service that ends at  pm so no option to stay for the ny you just need to go its pity because the idea of having a new luxury hotel in that area is great but apart from the higher prices the place is definitely not worth the value,2/5
35,we stayed at this hotel for a long weekend in the executive suite this room has a very large balcony overlooking the hustle and bustle of the street below the staff is very friendly and really cares about the wellbeing of the gueststhe hotel is in close proximity to many of the historical monuments and to restaurants bakeries cafés and shopsafter  minutes walk towards the sea youll be at ladadika neighborhood with all the photogenic allyes and numerous restaurantsaristotle square is about  minutes awaythe market is just around the cornera very nice food court called mandino agora is one minute up ermou street,5/5
36,excellent value considering the high quality of the hotel really enjoyed the stay here breakfast and food was a little expensive compared to what im used to but not an issue considering how well located the hotel isthe stuff is very polite and sufient hotel is kocated in the middle of the town closed to all atrucions very clean excelent brekfast recommended,5/5
37,we will not come backwe booked a  night stay online we chose the best room available executive suite since our flight landed past midnight i emailed the hotel to make sure that their reception was open no reply i later emailed again to request a late checkout stating that id be happy to pay if there is availability since our outbound flight was a midnight flight but again no replywhen we came in we got an executive suite but an accessible one one that is configured for people with special needswhat that meant was that the bathroom facilities were lower the sink was very low and hard to use for a person who stands and the absolute worse thing was a shower without a door so one could access it with an assistant or wheel chair this also meant that every shower flooded the room we were two people who had to use a shower and bathroom while walking in puddlesas we entered the room we requested an alternate one was no not available it is customary in other hotels to inform the customer when bookingfor this experience we will not return and i caution you to save your good money and go elsewherei dont want a thank you for the feedback nor an apology since you decline fixing it when we were there if you the hotel truly want to stand behind your product then issue us a refund not credit as i wont be back to the area,1/5
38,excellent service the view is astonishing and the quality of food is great the minibar inside the room is definitely a reason to come back as it provides everything you may need without leaving the room,5/5
39,great place with nice service and very clean roomshotel near center of thessaloniki and aristotelous squarei had a really nice time and mini holiday there,5/5
40,it was a perfect stay thank you so much special thanks to dimitris and senja from breakfast service zisis at reception and everyone else at this hotel is also doing an excellent job its a beautiful hotel in a very central location  recommended,5/5
41,excellent value considering the high quality of the hotel really enjoyed the stay here breakfast and food was a little expensive compared to what im used to but not an issue considering how well located the hotel is,5/5
42,i really loved my stay here excellent fresh and modern room great location by the city centre   minutes from aristotelous square friendly and helpful stuff i will definetely stay here again,5/5
43,all good except yesterday the cleaning services late and dont cleaning the room,4.5/5
44,good hotel with very nice interior design service could be more attentive and eager to assistthere is room for improvement and truly hope they get there,3/5
45,great hotel great reception desk really friendly staff  stars ,5/5
46,great place to stay in city center value for money friendly and helpful staff clean quiet cosy and luxurious highly recommendedthank you,5/5
47,excellent accommodation beautiful room and most importantly very polite and friendly staffexcellent choice just a few blocks from the city center,5/5
48,very nice hotel rooms were neat and kept well had a nice sauna and got relaxed after a long journey service was excellent,5/5
49,had a fantastic stay its got a nice location and the staff is simply too good this has got to be the nicest ive been treated at any hotel ever,5/5
50,awesome hotel has so many great little touches we really felt overwhelmed by it all service is friendly and attentive will stay again,5/5
51,service is friendly and attentivethe minibar inside the room is definitely a reason to come back as it provides everything you may need without leaving the room,5/5
52,nice hotel tge room was very equipped all new but very smallwhich a bit taking the funbut except that the all experience was good and comfortable ,4/5
53,the stuff is very polite and sufient hotel is kocated in the middle of the town closed to all atrucions very clean excelent brekfast recommended,5/5
54,everything was perfect the room is super clean the stuff was so nice and helpfuli really liked it and recommend to everyone,5/5
55,good location friendly and professional reception and good rooms quality,5/5
56,great place with nice service and very clean roomshotel near center of thessaloniki and aristotelous square,5/5
57,so far so good nothing to worry about luggage parking and all check in and check out are smooth,4/5
58,excellent location best crew service a little bit small room but all new and very clean,5/5
59,we loved it great service amazing location its a buitiful view from the room,5/5
60,really nice place for stay i will recommend for every one take service by hotel one timei am fully satisfied,5/5
61,so stylish and different than what ive seen in the city from the lobby to the room its modern and classy ,5/5
62,great place with nice service and very clean roomshotel near center of thessaloniki and aristotelous square,5/5
63,i just loved the place and the rooms are very well decorated and the location is superb,4/5
64,had a great stay lovely rooms great breakfast and wonderful service,5/5
65,rooms is very clean and nice with hotel management and beautiful view of hotel,5/5
66,great staff very friendly helpful and attentive america could take some lessons,5/5
67,clean rooms and very friendly staff its not easy to park nearby,5/5
68,nice hotel  luxury room  also there is best location,5/5
69,the rooms were small and dark,4/5
70,wonder staff members and beautiful service,5/5
71,very nice stay,5/5
72,excellent location great service,5/5
73,highly recommended for family stay,5/5
74,great property and the location is great too,5/5
75,fantastic stay wonderfull places,5/5
76,awesome hotel must visit,5/5
77,top ,5/5
78,very good atmosphere,5/5
79,good,5/5
80,nyc place,5/5
81,great,5/5
82,nice hotel,5/5
83,excellent,5/5
84,awesome,5/5
85,nice,5/5
86,wonderful experience,5/5
87,good and excellent,5/5
88,nice place,5/5
89,nice,5/5
90,good,5/5
91,excellent,5/5
92, clean hotel located in the city centeryou can explore the city almost entirely on footthe reception and dining room staff are very helpfulthe rooms are relatively small but very functional ,5/5
93, do not go near this hotelwe made a deal with them for a fiveday staydue to the war that broke out in israel there is no airport and all flights were canceledour house was also damaged by missile fire from iran while i was dealing with thiswe asked and begged them to cancel because there really is no way to get to the hotelbut they charged us the full amountand they also claim that they contacted me  times to cancel and i did not cancelwhich was not and will not be created a complete inventionbecause i have been dying to reach them since thursday and they do not answer the phone or messages at all and everything is reserved with me in case someone is interestedunparalleled wickedness and crueltythere is no forgiveness for thisdo not go near them everthey just stole the moneysend them to their medicine you scoundrels,1/5
94, we were in the hotel with  people top location clean and high quality facilities top service very very nice employees throughout we would be happy to come back and can more than recommend the hotel see you soon and thank you,5/5
95, the room i stayed in business double for one day was quite small and very dark with only one windowglazing that did not open on the back of the bed to the point that it gave you an unpleasant feeling of closed and confined space otherwise a clean and decent room in a convenient location,2/5
96, the truth is that i was not happy small room quite dark the bathroom difficult to use and inconvenient to open  close the doorthe staff very helpfulon the phone call only to close the room no clear instructions were given to get to the hoteli expected something more because of the  stars,3/5
97, relatively small rooms compared to the competition in the area compared to the other fivestar hotels in the city it has more limited space the staff is excellent the restaurant is very tasty,4/5
98, i wonder how a hotel is  stars when there is dust on the bed frame and spiders on the ceiling the service at the reception was typical with incorrect information about our reservation it also changed every  hours and so they didnt even know if you were staying at the hotel this was evident from a question they asked a customer in the wrong way and with a funny excuse at the end the only thing that saved the situation a little was the breakfast which is very decent and of good quality,2/5
99, very polite staff they served us with a smile even though we arrived at  after midnight,5/5
100, very good service from the reception staff rich breakfast and very clean room walking distance to shopping for food and entertainment i highly recommend it to any traveler,5/5
101, excellent choice for the center of thessaloniki  minutes from tsimiski and ladadika you will find very good restaurants around i will choose it again,5/5
102, i visited the hotel in thessalonikii was pleased the service was impeccable from the person in charge in the evening at the reception cheerfuland likewise in the morning from ioanna and the service georgefriendly environment clean room amazing i recommend it,5/5
103, the room is quite comfortable despite being small and the bathroom is in excellent condition but quite smallthe coffee in the room is replenished daily as are the bottles of waterthe internet works quite well and the reception staff is friendlyi dont give breakfast  stars it was varied and interesting but once it ran out it wasnt replenished on the first day there was no orange juice and on some days we couldnt eat eggs and mushrooms because they simply werent replenished after they ran outsomething i also found strange was the hotel staff taking food away to eat during breakfast hoursthe location is excellent,4/5
104, the hotel is worth the detour our room on the th floor overlooks the rooftops and the surrounding streets are very lively we discovered that its a trendy neighborhood where you can party until late in the morning however the hotels street is quieter and you wont be bothered by the noise breakfast is made with quality products and despite a somewhat narrow room you can eat to best prepare for the day our room was spotless and the housekeeping staff was smiling and dedicated nothing to say about the charming and professional welcome a great experience,5/5
105, everything was perfect my stay there left me with the best memoryright in the city center the room was awesome carefully cared for for the traveler who wants to calm down after a walk in the cityclean room perfect breakfast polite and helpful staff and at a good price according to the facilities it offers,5/5
106, the room was stylish and beautifully designed it was just a little small the location of the hotel is very good we had a problem like this we made the reservation through booking and even though we paid the  euro tax during the reservation the hotel did not accept it and they took it again even though we objected explained and proved it we will also report the situation to booking,1/5
107, unfortunately i cant share the positive reviews here the hotel is a complete disaster at the reception you are greeted unfriendly by annoyed employees we continue in a mini elevator to the mini room there isnt even room for two suitcases and you can hardly move the bathroom is also tiny we continue with breakfast which corresponds to the overall impression of the hotel hardly any choice and the entire breakfast room is also small and there is hardly any space at checkout the same picture as at check in no question whether you enjoyed your stay the only good thing is the location it is really central and with  bus stops in front of the door it is well connected to public transport all in all the hotel doesnt deserve  stars but rather is at a  star level,2/5
108, even the young ladies at reception were not friendly rather listless and with facial expressions that suggested that they were annoyed by their jobthe room and bathroom is very small and narrow the bed was not comfortable and the balcony chairs without seat cushions were uncomfortablethe cleanliness leaves something to be desiredwhen checking out i didnt even ask if everything was ok and bye professionalism has no place here the orange juice at the breakfast buffet was the best otherwise the room is very smallto be honest we dont know why the hotel is rated so well its not at all like a  hotel more like ,2/5
109, although the lobby is small there is luggage storage the rooms are quiet and comfortable the reception staff was very helpful even with our personal problems,5/5
110, no  ermou hotel is located in the center and is a very clean and modern hotel rich and quality breakfast the staff is impeccable polite and very friendly thank you very much,5/5
111, the hotel premises are too small rooms small breakfast restaurant smallon the night of october  the room was cold my wife was very coldwe asked the reception to tell us how the heating works he told us it doesnt work the air conditioner only gives out coldwe told them to bring us at least one electric body we havent was the answerfinally we asked them to bring us at least an extra blanket we dont have that either shockingi say mercy is it possible to advertise that you are supposedly  stars i dont even put  and not have extra blanketsand as if that wasnt enough when we left i asked the management to call us to remove us at least the last night of stay onlynobody called i called two more times leaving a message for the address to call me back they never made that phone call even for an apology nothing shame on themfinally after all of this i disputed the amount on my card and now i will get the amount for all nights back as required by lawall of them unacceptable the staff were all young guys but everyone good guys but guys amateurs there was no professional therei do not recommend this hotel to anyonein my opinion and i travel a lot it is the worst in its class in thessaloniki,1/5
112, no ermou has the great advantage of its excellent location in the center of thessaloniki which makes it ideal for those who want to be close to the main attractions and commercial life of the citythe staff are polite but unfortunately they seemed inexperienced and not at the level i would expect from a  star hotel a major problem i encountered was the lack of hot water for two days which i mentioned at checkout the response i received was disappointing as there was not even a simple apology for the inconvenienceas for the breakfast although it was quality and nice the variety was limited for a hotel of this categoryoverall the hotel has prospects but my experience was not up to the level i would have expected for its category improvement in basic services and better staff training is needed,4/5
113, excellent the location is perfect the staff very helpful the breakfast is top quality everything beautiful,5/5
114, great hotel with small flawsthe hotel is very modern the service is courteous and friendly and the location is ideal for both business trips and vacations the beds are amazing  i travel a lot for work and pleasure and have never had such a comfortable bed with a hard mattress a blessing for the intervertebral discsthere are few shortcomingsmy room was right next to the elevator making sleeping impossible hopefully you can get a better nights sleep in the other rooms i wasnt able to move due to tight scheduling the rooms are very stylish and modern with dark mirrors and subtle lighting even in the bathroom the latter is anything but ideal for women who want to wear makeupbreakfast was very high quality and the selection was good but i would have liked a little more variety for  nightstop hotel that i would like to give a second chance next time only with a room that is not directly next to the elevator,5/5
115, wonderful space modern the staff is very helpful and kind the breakfast is delicious and rich clean the existence of a gym and sauna was a very pleasant surprise which we tried ,4/5
116, we booked for  nightsand it was a very right choice ignoring the few bad reviews the hotel hadall the guys who work here are very cheerfulthe breakfast is honest for the money we have given to the accommodationthe amenities are enough and the cleanliness is above our expectationsi highly recommend it both for its location and its amenities,5/5
117, the hotel is very centrally locatedthe rooms are clean and serviced dailythe staff is very friendly and helpfulthe minibar meets all your needsthe bathroom lighting could be brighter a little more storage space would also be goodgenerally recommended well be back,5/5
118, the no  ermou is a modern star hotel in a central location in thessaloniki the reception was professional and professional the hotel looks very new our room supposedly an upgrade was relatively small but comfortable it was still nice and clean the bathroom was great however the view was less than perfect see pictures nevertheless it is recommended for a stay in thessaloniki we would recommend it,5/5
119, a wonderful hotel and very modern in the center the breakfast was very rich but also very high quality congratulations to all the guys for the effort they put in to make us satisfied from the reception the ,5/5
120, excellent location despite being central you cant hear the city noise at night ,5/5
121, how do you take a hotel with star potential and with bad service and lack of reliability ruin your customers vacation as in other previous reviews here they simply trick customers with the tourist tax story we booked a room through agoda and all taxes were included in the fee we made sure of this in advance we also had confirmation and everything was listed the receptionist simply ignored us and demanded an additional payment not even the involvement of the tourist police who arrived at the scene helped simply disgusting  service although the hotel is nice beautiful rooms and a great location there is no excuse for lack of reliability we will not return here,1/5
122, top service and location everything high tech even music in the bathroom,5/5
123, my daughter and i stayed at this hotel i was very disappointed the guy who was at the reception was rude raised his voice my daughter and i arrived very late after paying he said to wait didnt give me a card didnt say the room number and immediately started talking to other people what impudence the safe was not working the card didnt work every day and the room cleaning was terrible and even the toilet lid was broken payment for one day was  euros we stayed for  days i will say that this is by no means a  star hotel breakfast is very bad the main disadvantage is that you can hear the elevator moving i do not recommend this hotel under any circumstancesthe staff knows their own mistakes i was amazed that when we left they didnt apologize they just laughed a terrible hotel and the employees of this hotel who work at the reception should have some manners and dont be rude to people,1/5
124, it was a very comfortable room very clean with a great minibar full of little treats wonderful toiletries and soft towels ,5/5
125, elegant clean and welcoming hotel the staff is super efficient and at the same time very friendly and always available for any type of need the food is always fresh plentiful and of excellent quality it is difficult to give up or finish everything they offer on the menu the property is located a stones throw from the centeri will definitely go back,5/5
126, a small hotel close to the city center but with star comfort reflected in everything a friendly and attentive staff from the first greeting you enter to the farewell it is definitely a hotel to be recommended with its extremely clean and comfortable rooms,5/5
127, the location is very central there are plenty of cafes restaurants etc around and it is a very clean hotel within walking distance to the beach and historical sites the breakfast is also rich,5/5
128, if this is called  stars then what about the real  starsnarrow rooms dining room for breakfast narrow to nonexistent poor to tragic morning black color depressing everywhere,1/5
129, chic hotel in the center of thessalonikithe rooms are very nicely decorated and very clean although smallthe bathroom with a rainforest shower and black marble is small but very beautifulthe staff is super friendly and i felt very at home for the three nightsthe morning buffet was very nicely prepared and fresh,5/5
130, very central very modern beautiful rooms and very friendly staff since its in the heart of the city you have to be aware that it can be noisy at night but thats thessaloniki definitely deserves  stars,5/5
131, a very central and clean hotel very modern furnishings and the staff friendly and accommodating only  minutes walk from tsimiski and about  minutes walk from the white tower great central location for a city trip because everything is within walking distance the room is large enough and very stylishly furnished always my pleasure,5/5
132, very central hotel  clean nice breakfast perfect service  i will visit it again and  times for sure ,5/5
133, boutique business hotel very dark lighting you cant put on makeup in the hotel its literally putting on makeup in the dark even when all the lights are on at maximumthe double bed is definitely small and you can feel the person you are sleeping withbomb location close to all the interesting restaurants and sites that thessaloniki has to offerthe breakfast is excellent on the weekend but standard during the week,4/5
134, very nice hotel it is close to the port and in general to everything the employees are very kind and the rooms are very nice and clean the breakfast is rich it has everything a very good hotel that is really worth the money,5/5
135, simply pure luxury very clean and welcoming the staff is just great everyone i met here are just great people thank you very much for the great days stay healthy well meet again,5/5
136, the room is quite comfortable despite being small and the bathroom is in excellent condition but quite small the coffee in the room is replenished daily as are the bottles of water ,4/5
137, this hotel is small but nicely designed in the city center where you can move around on foot parking is a problem of course a breakfast that deserves  stars the rooms are clean and nice the price ratio is excellent i can say i recommend it the staff is very helpful and attentive thank you team,5/5
138, excellent hotel very good breakfast nice and courteous staff location in the heart of the city near the street of restaurants taverns cafes and thessaloniki promenade you will also find the local market and modiani market near the hotel,5/5
139, the sink was clogged the tv was broken and placed in the wrong place the reception service is like talking to a chatbot if you ask for someone in charge on saturday there is none it does not meet the standards of a star hotel,1/5
140, the hotel is very decent but for   per night and take the  stars out of the way i booked one of the most expensive rooms for which i paid     difference with electra palace which is actually  stars the breakfast is too small the service is mediocre and disorganized most rooms do not have a balcony almost no view  parking spaces for which you will pay   per day the funniest thing about this particular hotel is that all its charges are  stars in contrast to its facilities,1/5
141, excellent hospitality kind and very helpful staff both at the reception and in all the posts of the hotel an example of professionals very nice and very clean rooms the ideal choice for a stay in thessaloniki well done guys and thank you for my lovely stay,5/5
142, service service service the level of kindness politeness and helpfulness never stops not for the third time or in the middle of the night friendly smiling staff who know how to help with anything just ask and if you already ask and they respond tip them the hotel is clean good breakfast ask for cappuccino  they will make it for you ask for scrambled eggs  they will make it for you a short distance from the port and everywhere else there is a good tavern with good food and music in the evening right at the back of the hotel in rough alley a recommended hotel,5/5
143, i have been working and visiting star hotels since i was  the service is average to bad the receptionist hung up on us the breakfast did not even come close to star expectations the rooms are very narrow ,1/5
144, a small boutique hotel excellent service net rooms are a bit small a good morning perfect location very helpful recommends,5/5
145, excellent business hotel that is also available for holidaysstylish modern spaces extravaganza complimentaries and an impressive variety of breakfast and dessertsportions,5/5
146, very good hotel on ermou street very close to aristotelous square so a lot can be done on foot the room was clean they gave us on their own initiative a free room upgrade ,4/5
147, nice luxurious stylish hotel in the city centervery nice rooms the classic double we stayed in but smalland in general you feel somewhat limited by the comfort of spaces in the hotel as a wholegood mood from the staff all of them polite and understanding of our request for late check out without extra charge,4/5
148, we recently booked some rooms at ermou no for a business conference as a company onflow and it was an excellent experience from start to finish ,5/5
149, building with a modern design interior wonderful although small relatively enchants those who are lovers of black which you impose with combinations and contrasts of other colorsstaff extremely friendly polite and available at any time to serveroom not too small not too big spotless and neatvery good location since it does not require a means of transport to reach central pointsexcellent,5/5
150, great hotel in the center of thessaloniki large and rich breakfast  central location but rooms are quiet  great air conditioning  staff always ready to help and coordinate with restaurants and taxis all service ,5/5
151, very nice room breakfast and service in fact forgetting a personal item i contacted them they found it immediately and i received it very pleased,5/5
152, model hotelvery cleancomfortable and soft bedgreat variety and very tasty breakfastin a very good location in the city,5/5
153, a perfect experience super central location short walking distance from any interesting place perfect staff  kind polite very helpful available at any hour for any question everything is new very clean beautifully designed and practical excellent breakfast and amazing massagesfacials highly recommended,5/5
154, hotel in the center of aininim great staff goes out of their way to provide service excellent breakfast,5/5
155, very good boutique hotel very small rooms i would say a good  star,4/5
156, it had a very good design it met all her needs would go again and recommend excellent,5/5
157, very central hotel  clean nice breakfast perfect service  i will visit again for sure ,5/5
158, beautiful hotel brand new modern and spotlessly clean friendly and helpful staff with usb ports in the sockets and floor lights with motion detectors for the evening the breakfast in the room was rich many amenities in the room in general that made the stay comfortablewe had a problem with the key card twice they solved it for us immediately from the reception but maybe they need to pay a little attention to itoverall a very positive experience i would visit it again,4/5
159, a good hotel next to aristotelous and nothing more than  star you cant say,4/5
160, the rooms are very small which eot star gave  starsthe equipment of the rooms is sufficient and the minibar richthe breakfast area is tragically smallthe location of the hotel is inconvenient as there is no parking within a radius of  mthe service provided by the hotel staff is completely professional and completely satisfactory smile and speed help the situation,1/5
161, i highly recommend it its the best hotel ive ever stayed in very clean and convenient for those who dont have a car,5/5
162, fantastic location with access to all the attractions in thessaloniki excellent and spacious shower rich and varied breakfast the hotel staff is kind and helpful with any question pleasure,5/5
163, in a central location of thessaloniki you dont need a car you can easily walk around clean and tasteful the staff is kind and willing to serve you the breakfast is rich ,5/5
164, amazing fivestar relatively small hotel in the center rich breakfast brand new with modern decoration and a wonderful bathroom what makes it fivestar are its rich amenities and its helpful staff ,5/5
165, excellent and very neat hotel very helpful and polite staff excellent breakfast the rooms are wonderful one of the most complete mini bars i have come across in a hotel the parking lot is a bit far day,5/5
166, a stunning hotel in the city center with very polite and attentive staff who responded to all our requests quickly clearly and clearlythere was one delight here,5/5
167, impeccable service everyone very friendly spotlessly clean hotel it had everything in terms of amenities and a very good breakfastexcellent location to go anywhere on foot ,5/5
168, the room was very small and cramped the huge tv mounted on a wall next to the bed with no visibility at all everything crammed in however the cleanliness and the location win you over,4/5
169, the cleanliness the service a central hotel close to the market the pedestrian mall the entertainment area the attitude of the employees is excellent always willing to help highly recommend,5/5
170, amazing hotel excellent service rich breakfast and all the staff ready to serve you the rooms are clean and spacious as soon as we come to thessaloniki again we will definitely come here,5/5
171, a simply lovely hotel excellent location clean rooms at a high level highly recommended,5/5
172, great staff and hotel location thank you ewa and wojtek poland,5/5
173, excellent clean hotel bring comfortable shoes because there is a lot to walk,5/5
174, good hotel excellent location slightly small rooms with unflattering black design excellent air conditioning highly recommended quality staff,5/5
175, for coffeedrinkfoodat the roof garden with an endless view of the acropolis,4/5
